ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
278,Insane In The Brain,Cypress Hill,Cypress Hill,1993,male,2,1,0,0,0,0,1,TRUE,FALSE
279,It Was A Good Day (B-Side Remix version),Ice Cube,Ice Cube,1994,male,2,1,0,0,0,0,1,FALSE,TRUE
280,It’s Your World (Part 1 & 2),Common,Common,2005,male,2,1,0,0,0,0,1,FALSE,FALSE
281,L'Americano,Akhenaton,Akhenaton,1995,male,2,1,0,0,0,0,1,TRUE,FALSE
282,Look At Me!,XXXTENTACION,XXXTENTACION,2015,male,2,1,0,0,0,0,1,TRUE,FALSE
283,Looking At The Front Door,Main Source,Main Source,1990,male,2,1,0,0,0,0,1,TRUE,FALSE
284,Lost In The World,Kanye West ft. Bon Iver,Kanye West ft. Bon Iver,2010,male,2,1,0,0,0,0,1,TRUE,FALSE
285,Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,Run The Jewels ft. Gangsta Boo,2014,mixed,2,1,0,0,0,0,1,TRUE,FALSE
286,Love Sosa,Chief Keef,Chief Keef,2012,male,2,1,0,0,0,0,1,TRUE,FALSE
287,March Madness,Future,Future,2015,male,2,1,0,0,0,0,1,FALSE,FALSE
288,Mortal Man,Kendrick Lamar,Kendrick Lamar,2015,male,2,1,0,0,0,0,1,FALSE,FALSE
289,Mtaktak,Shabjdeed & Al Nather,Shabjdeed & Al Nather,2019,male,2,1,0,0,0,0,1,TRUE,FALSE
290,Ngqangqa,Kanyi,Kanyi,2017,female,2,1,0,0,0,0,1,TRUE,FALSE
291,Nice For What,Drake,Drake,2018,male,2,1,0,0,0,0,1,FALSE,FALSE
292,No Diggity,Blackstreet ft. Dr Dre and Queen Pen,Blackstreet ft. Dr Dre and Queen Pen,1996,mixed,2,1,0,0,0,0,1,TRUE,FALSE
293,O.P.P.,Naughty By Nature,Naughty By Nature,1991,male,2,1,0,0,0,0,1,TRUE,FALSE
294,Pacifier,Young Thug,Young Thug,2015,male,2,1,0,0,0,0,1,TRUE,FALSE
295,Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,Eric B & Rakim,1987,male,2,1,0,0,0,0,1,FALSE,FALSE
296,Pass That Dutch,Missy Elliott,Missy Elliott,2003,female,2,1,0,0,0,0,1,FALSE,FALSE
297,Realer,Megan Thee Stallion,Megan Thee Stallion,2019,female,2,1,0,0,0,0,1,TRUE,FALSE
